Ciudad,Latitud,Longitud
Anahuac,27.24213,-100.13348
Apodaca,25.77748,-100.18331
Bustamante,26.52964,-100.50158
Cadereyta Jimenez,25.35912,-99.98486
China,25.70782,-99.23533
Cienega de Flores,25.95821,-100.16528
Dr Coss,25.87928,-99.17581
Dr Gonzalez,25.85854,-99.94216
Garcia,25.80892,-100.59792
General Escobedo,25.80403,-100.31738
General Teran,25.25653,-99.68457
General Zaragoza,25.80246,-100.39146
Hualahuises,24.85,-99.68333
Linares,24.72459,-99.47221
Los Aldamas,25.93087,-99.30001
Los Ramones,25.60528,-99.73194
Marin,25.82498,-100.01539
Mier y Noriega,23.45006,-100.21399
Mina,26.00029,-100.53826
Montemorelos,25.26588,-100.00685
Monterrey,25.67693,-100.3137
Paras,25.1,-99.01667
Pesqueria,25.73643,-100.08096
Rayones,25.02443,-100.10858
Salinas Victoria,25.96389,-100.29422
San Nicolas de los Garza,25.74701,-100.29475
San Pedro Garza Garcia,25.66317,-100.4027
Santiago,24.93333,-100.23333
Vallecillo,26.89334,-99.72727
Villaldama,23.83333,-100.15
