Estación,Provincia,Temperatura máxima (ºC),Temperatura mínima (ºC),Temperatura media (ºC),Racha (km/h),Velocidad máxima (km/h),Precipitación 00-24h (mm),Precipitación 00-06h (mm),Precipitación 06-12h (mm),Precipitación 12-18h (mm),Precipitación 18-24h (mm)
Estaca de Bares,A Coruña,11.0 (20:20),8.7 (04:10),9.8,61 (16:30),39 (18:40),0,0,0,0,0
As Pontes,A Coruña,13.9 (14:50),-0.8 (07:30),6.5,,,0,0,0,0,0
A Coruña,A Coruña,13.9 (14:50),5.1 (07:10),9.5,15 (02:20),10 (02:20),0,0,0,0,0
A Coruña Aeropuerto,A Coruña,14.2 (14:50),0.0 (09:30),7.1,24 (23:10),15 (04:00),0,0,0,0,0
"Carballo, Depuradora",A Coruña,16.0 (15:50),-2.8 (08:40),6.6,,,0,0,0,0,0
Cabo Vilan,A Coruña,13.6 (14:20),8.0 (08:30),10.8,20 (22:00),14 (21:40),0,0,0,0,0
Vimianzo,A Coruña,14.6 (15:50),1.3 (09:00),8,,,0,0,0,0,0
Fisterra,A Coruña,13.3 (02:10),8.4 (22:30),10.8,23 (17:30),19 (00:10),0,0,0,0,0
Mazaricos,A Coruña,14.0 (16:10),1.2 (09:10),7.6,,,0,0,0,0,0
Sobrado,A Coruña,17.5 (16:10),-2.1 (09:00),7.7,,,0,0,0,0,0
Santiago de Compostela Aeropuerto,A Coruña,15.5 (15:00),1.9 (08:40),8.7,13 (20:20),11 (20:30),0,0,0,0,0
Noia,A Coruña,13.0 (13:20),4.4 (09:00),8.7,10 (14:40),4 (23:10),0,0,0,0,0
Boiro,A Coruña,15.8 (16:30),0.7 (07:50),8.3,,,0,0,0,0,0
Padrón,A Coruña,13.3 (16:20),-1.3 (09:10),6,32 (07:30),27 (07:30),0,0,0,0,0
Santiago de Compostela,A Coruña,16.2 (16:10),1.5 (08:00),8.9,17 (08:20),9 (00:50),0,0,0,0,0
"Rois, Casas do Porto",A Coruña,15.2 (15:50),3.7 (08:40),9.4,,,0,0,0,0,0
Ossa de Montiel,Albacete,17.6 (13:50),-3.1 (07:40),7.3,19 (15:00),8 (14:40),0,0,0,0,0
